地址,推荐人,直推人数,团队人数,等级,收益比例,是否激活
0x2d68a5850a4805c6fe6648e5870b68456e2a7c82,0x8eFb0848a6De28ddd290224DC2Dd87174a0e29F1,5,50770,V8,40%,true
0x4544c0cf9d62d3bb441c04a5f31c1ba0e432d37e,0x0435aFf9777DafBd0552B54951501D3169A02062,7,804,V4,20%,true
0xc418c1287c62cde6b8434e88e33f8d4feecf5e95,0xC26731f7b6521B9ddF58B2Ef3F70658Dc28A5513,3,543,V4,20%,true
0x468f8c39ef1db73fe6ecc311b10e1828875273f3,0x6BA8221531a30EF41260367fDe92a034c178Bb2b,3,467,V4,20%,true
0xab75927c641a4545dc52b9c02562fde3d09a9b1d,0x6AE9AE7EA9001EcC25fC7EA68b037e529bF938ae,3,193,V3,15%,true
0xdc564fafedc96b530c38932ec56e1d47fc8add65,0x3E436e9ef8A44cb65b00FcEFe4Ac1952384Ed21e,6,180,V3,15%,true
0xf7f556041fa301f6974b713976b5f7fe1faf1817,0x52c6b0C5b19E382ADB37df9E3AE882fE49dD91c1,3,123,V3,15%,true
0x72a48b013bf4e18a6acf59910875f601b68bf049,0x16534F0Dae6602c8E20d25000F9691C9b7A68462,3,48,V2,10%,true
0x293ba423b0a4bf19805ad25fb0425aa168753737,0x4544c0CF9d62D3bB441c04A5F31C1ba0E432d37e,3,38,V2,10%,true
0x652bc83f169985720624f788715f7c61f0d75d8e,0x9CE5993df85D95Dd9B8761bB6f5B4827134E2a36,11,31,V2,10%,true
0x06ecae17b8dccc69761dc99d915671402d9e2b2e,0x038A9aa1f6263158E195caD9992F1A1711D255D6,3,30,V2,10%,true
0xe0b778b92fde9d16c1923575f36f00a48b8729fa,0x0FB2eE2a95Fca69Dbf7F8fd30057efDe0567B6bA,3,30,V2,10%,true
0x9a6ebb123af63c8e8c41dcf7d42f4f85ab1d9a2f,0x48c5aa01959025CDCE2Eb742196dc210aB4578fD,3,30,V2,10%,true
0x1c21307dd347b54cfc3754fa772e26584efab009,0x06eCAE17B8DCcc69761DC99d915671402D9e2b2e,3,27,V1,5%,true
0x3fccb9de0fed6570577038949f07b00f17753f9e,0xe0B778B92FDe9D16C1923575F36f00a48B8729fA,3,27,V1,5%,true
0xabc3fc596893107038a380df4d66170455e1d3a6,0x9a6ebb123af63c8E8c41dCF7d42F4f85AB1d9A2F,2,27,V1,5%,true
0x687544867e29166ba00845f3a1c546a02b9eac7e,0xAbC3FC596893107038A380Df4d66170455e1D3A6,3,25,V1,5%,true
0x6cd2404b1ff590b2d1dbacca4a25946d26c29c11,0x1c21307Dd347B54CFc3754Fa772E26584eFAb009,3,24,V1,5%,true
0xc6c11c788b3bcd7b34024e61e073b7d897205ca0,0x3FCCB9dE0fEd6570577038949F07B00F17753f9e,3,24,V1,5%,true
0x9d8a509ce41b6bc9831eeffe9674a4aeb66dbce6,0x48c5aa01959025CDCE2Eb742196dc210aB4578fD,3,22,V1,5%,true
0xea55e18bcabee923403b28c45067b48a4355ab37,0x687544867E29166bA00845f3a1C546a02b9EAC7e,3,22,V1,5%,true
0x58cb18e72e6f6f7c7f8ae7bc95886a9146584aa4,0x757106bDD695d3d6374E3222bF72eb7370d3587c,1,21,V1,5%,true
0xbe199542c2731cbae4c0b03cfe866eea7710a8da,0x6Cd2404b1Ff590B2D1dbAcCA4A25946d26c29C11,3,21,V1,5%,true
0xe58e95b4be4af2355fef66cea73aa36f595f0473,0xC6C11c788B3bCd7b34024e61e073B7D897205Ca0,20,21,V1,5%,true
0xfc414d882ffb6eb900b5a93a565d95dba712eb6b,0x58CB18e72E6f6F7c7f8aE7bc95886a9146584Aa4,2,20,V1,5%,true
0x141cd850c0ba483a353c5dcc0b7cfc287c532f3a,0x52a06E7Fc6a1234A776fE9844E5dAae74f599F7c,1,20,V1,5%,true
0x6bd09d7307ba795379a022e7253067c254ff317d,0x9D8A509Ce41b6bc9831eEFFE9674A4AEb66DBce6,2,19,V1,5%,true
0x44c31b947a2187489dddd41606cb9d0575db9108,0xea55E18bcabEE923403B28C45067B48A4355AB37,8,19,V1,5%,true
0x2c004d559bdd3a82a61dbca49ccb286228592d4a,0xBE199542C2731cBae4C0b03Cfe866EeA7710A8dA,18,18,V1,5%,true
0xeef4cffaa8639ca7e5355ebd32ad28d5b7f884f2,0xfc414d882ffb6EB900B5a93A565d95dBa712EB6B,2,18,V1,5%,true
0xaa9e900dab15c5fd862866ea51d4c75e1afb6d4a,0x141cd850C0BA483a353c5DCC0B7CFc287c532f3A,1,18,V1,5%,true
0x6172e49bddd1a3d01beefda495ba30f296eac088,0x0FB2eE2a95Fca69Dbf7F8fd30057efDe0567B6bA,3,17,V1,5%,true
0x06d9bbd166d02c47502990849584a649ffecbb9b,0xAA9e900dAB15C5fd862866ea51d4C75e1AFB6d4A,1,17,V1,5%,true
0xfc29c16f239c773fb2fd55383bb1b7c50ec4efce,0x6BD09d7307BA795379a022E7253067C254ff317D,3,17,V1,5%,true
0x523650ce5cb593dad8f38a8009f824b0a816a996,0x06d9bbD166d02C47502990849584a649FFECbB9B,1,16,V1,5%,true
0xb9e6ca71c3e17f910debd5cd28d42bf81417350e,0xf86444B8EC7743E51681DE14A3586Fb78e671225,3,15,V1,5%,true
0x751e41ee3fd849fa76b544f6314d0a1972bb243c,0x523650cE5Cb593DAD8F38a8009F824B0A816a996,2,15,V1,5%,true
0xe37bf47647edd03b9369cd93830a96adf4f73c3b,0x2CF554445AC11680637D6e740E2F80ecBe361C49,3,15,V1,5%,true
0x37b30e0d978ee1d7cbee318f2d2c7a37f570a0ec,0x6172e49bDDD1a3d01beEFda495Ba30f296eac088,1,14,V1,5%,true
0xf16362af417dfe06df69f76fbebf271d5fcf90c9,0xeeF4CffAA8639Ca7E5355Ebd32aD28D5b7f884F2,2,14,V1,5%,true
0xe3b5ef7f753371edffb91b804181b26b86397bed,0xFC29c16f239C773fB2fD55383bb1b7C50ec4eFCE,3,14,V1,5%,true
0x05ea4a9ef769627e5760126cbf0fc1fb4ca70023,0x37B30e0D978EE1D7CbeE318f2D2C7A37f570a0Ec,1,13,V1,5%,true
0x11136abe2a1800ed460b1e061bf35aa6a2ee1b45,0xE9A1b61878B59BF36Bac0C539C0cf283dB8E1E6C,1,13,V1,5%,true
0x019c679619064d736f27c4a7831fa67de81e4cc9,0xF90292A05d67174E4C40E3454e80f501F9708aBF,1,13,V1,5%,true
0xa27b196326914eb7227a66343a0409545beeb6c7,0xb9e6Ca71C3E17f910DebD5cd28D42bF81417350e,3,12,V1,5%,true
0xd31f153ecd786c2d80a2e572af12938290784a4d,0x05eA4a9Ef769627e5760126CBf0FC1Fb4Ca70023,1,12,V1,5%,true
0x1cf3d8090014e563e47d2e3989402790c95280dc,0x11136ABE2a1800ed460b1e061BF35aA6a2eE1B45,1,12,V1,5%,true
0x4072fb2f4d536ced9d1a2ee1a930e2d2d95889b1,0x019c679619064d736F27c4A7831fa67DE81E4Cc9,2,12,V1,5%,true
0xe16ba15091674a02c7aceb1a8e7dfc3ad984e3df,0xf16362AF417DfE06Df69f76fBEbF271d5Fcf90c9,3,12,V1,5%,true
0x094e983b87e83cf211f3ced674cfa9d8cc129f19,0x751e41eE3Fd849Fa76B544f6314D0a1972bb243c,2,12,V1,5%,true
0xa0d2e19f2ff70270c4617e670568721484ed89a1,0xD181B57BBB28fa993baE94A927C05cC00238f537,1,11,V1,5%,true
0x89ad2a17bbe7576750fd7541c0d6e613f1c5aade,0xd31F153ECD786c2D80A2E572AF12938290784A4D,1,11,V1,5%,true
0xc761e4e6dbbb84d0ca956e0c5ffeb037fffed46c,0x1CF3d8090014E563e47d2e3989402790C95280Dc,11,11,V1,5%,true
0xe5e9a2a9fcab62576c9b8bdeea559e10fbd437a3,0xdc564fAFEDc96b530C38932Ec56e1D47FC8adD65,3,11,V1,5%,true
0x0ff9120a3d1260b35668a0a04aba76c5be41a016,0xA0D2E19f2fF70270c4617E670568721484eD89A1,1,10,V1,5%,true
0x8e430fe2457f10ca58fab9e0ea4f11f9c92b3d89,0x652Bc83f169985720624F788715F7C61F0D75D8E,10,10,V1,5%,true
0x55543459d33cd0999d2ea1bccf49d7447afc2531,0x652Bc83f169985720624F788715F7C61F0D75D8E,10,10,V1,5%,true
0x051497c52c7ebf039de013d57631c779c453cb48,0x89aD2a17bbe7576750fD7541c0d6E613f1c5aaDe,3,10,V1,5%,true
0xc837a2564c66d6137af753a257a36a409a716866,0x4072Fb2F4d536CED9d1a2ee1A930E2d2D95889b1,10,10,V1,5%,true
0xb085492bce2e7fcf77d888b16b2669b778da416b,0x3b9e445fe0dB166dffFEf06B0DCE10afF2B3249f,3,10,V1,5%,true
0x1ee9fbe59498f08aaf4e4b285cf5b8db25f52722,0xE37Bf47647edd03b9369Cd93830A96ADf4f73C3B,5,10,V1,5%,true
0xc345afe3d28824f46cf45cf4bd55023755691f3b,0x0fF9120A3d1260B35668a0a04aBa76c5bE41a016,1,9,V0,0%,true
0xc24df06f9fd0360b8974106d9ef1f9aed7075534,0xa27B196326914Eb7227a66343a0409545bEeb6c7,3,9,V0,0%,true
0xf5283f2afd71bc976ffb7b198d1367758fe4703c,0xe16ba15091674A02C7Aceb1a8E7dfc3ad984E3DF,3,9,V0,0%,true
0x9b1162c09462d070dd74295eb2295ab9358573ae,0xc345afE3D28824F46cF45cF4bD55023755691F3B,1,8,V0,0%,true
0x64bb0fe34f789d1d425e09087184dead5a767381,0xE3B5EF7F753371eDFfb91b804181b26b86397BEd,3,8,V0,0%,true
