排名,用户地址,购买金额(USD),购买金额(MC),购买笔数
1,0x6f8a6eff8b70af4376e6eb6d7d8f52513b2b7b22,1050.00,2100.0000,3
2,0x9d8a509ce41b6bc9831eeffe9674a4aeb66dbce6,1000.00,2000.0000,2
3,0x5a348eab9d30b6053d51c4e5483d5ae6539d6bd4,1000.00,2000.0000,2
4,0x4544c0cf9d62d3bb441c04a5f31c1ba0e432d37e,650.00,1300.0000,4
5,0x14776c30afd1485fd3ea919e71fc57099083706f,550.00,1100.0000,2
6,0xa1091f12ec438dd01b72572c5e384951ee8ac695,550.00,1100.0000,2
7,0x5eba8546a95717609815b35ee1e6ee6f641a1eb5,500.00,1000.0000,1
8,0x6ac3e8e634517b549b8ed9d52d5ff9bb3477bf46,500.00,1000.0000,1
9,0xf86002ddab547abf8a838eba101b540c15afa8a1,500.00,1000.0000,1
10,0x2c004d559bdd3a82a61dbca49ccb286228592d4a,500.00,1000.0000,1
11,0x2606be5a555aa03e6255e145863ca50f31dc1af6,500.00,1000.0000,1
12,0x07b18cbccd26474f626b13470afa044bfbcb8f7e,500.00,1000.0000,1
13,0x170cbc1fbf2687a80a7079d13dc9e09ec17d4651,500.00,1000.0000,1
14,0x9a6ebb123af63c8e8c41dcf7d42f4f85ab1d9a2f,500.00,1000.0000,1
15,0x8b786ed88026bbc3b064ae7393c72d5e134c1322,500.00,1000.0000,1
16,0xe084bfe53dad4e2719af2b5d383bfa58ce693e87,500.00,1000.0000,1
17,0xb085492bce2e7fcf77d888b16b2669b778da416b,500.00,1000.0000,1
18,0xfc29c16f239c773fb2fd55383bb1b7c50ec4efce,500.00,1000.0000,1
19,0x72ccdf7811c424b80e1e9a196019c4cf07b9b95f,500.00,1000.0000,1
20,0x959c98816c44471fb63b304087ef75eb907d3d15,500.00,1000.0000,1
21,0xf9934902a91c0fb9b51d77207407644307057273,500.00,1000.0000,1
22,0xcad2716b5f4670bd32dda7035d1263d790269415,500.00,1000.0000,1
23,0x64bb0fe34f789d1d425e09087184dead5a767381,500.00,1000.0000,1
24,0x7bec2e4ee3ad1014bcedb870401d9ef95646655f,500.00,1000.0000,1
25,0xa92e1000ffdd6e394016c21c7e8208edf021f9ba,500.00,1000.0000,1
26,0x92a4635285f705410fcf130e6aa896f059ec2ccf,500.00,1000.0000,1
27,0xa88b1bdaaf3ee3c5b935d7392d9928556902e7c0,500.00,1000.0000,1
28,0xe217dc20a85d9bc105d0febe594aa6fb101dc7bc,500.00,1000.0000,1
29,0xea55e18bcabee923403b28c45067b48a4355ab37,500.00,1000.0000,1
30,0x44c31b947a2187489dddd41606cb9d0575db9108,500.00,1000.0000,1
31,0x08fe52d30797b4c4fc6dd50345cb24aeb9646bcc,500.00,1000.0000,1
32,0x9dbe997db5488d151218c6e023863f580e5a062e,500.00,1000.0000,1
33,0xeda468c6d5adf489e8cbd69983cda3f51a1de8af,500.00,1000.0000,1
34,0x081358330ff82a64c54a62783c030d868ad9e381,500.00,1000.0000,1
35,0x65c43a00c2f5626a5f1ca9fc690dd60e01e78bf1,500.00,1000.0000,1
36,0x08065ea5aeae4131bdb5d4c0be47b6ba639172f5,500.00,1000.0000,1
